Student_ID,Gender,DOB,Grade,Attendance,Math_Score,Reading_Score,Science_Score
986424d5-6f43-422e-8cdd-9a2636baefe2,Male,2016-02-17,5,93.2,81.9,64.9,92.4
db33c6ff-c6f1-4a23-a42d-c53e6d22fde5,Female,2008-10-06,4,79.6,73.0,54.7,74.7
033a9667-3942-4dec-a6b1-af6c997eb319,Female,2016-06-08,3,83.7,98.2,56.3,59.8
2e337d02-bf06-4ad6-b617-a13b0e3f9358,Female,2007-02-28,8,91.6,60.9,59.0,86.8
2e964f25-dc9f-4424-9213-e472df411567,Male,2012-04-25,6,87.1,79.4,60.2,70.9
93783835-3aa6-4d8a-826b-25f7d6d6e8f5,Male,2005-06-29,11,93.5,85.0,62.1,79.7
28edfe1e-8356-4058-92a5-6e05eb0e889f,Male,2016-09-28,1,99.0,91.3,62.8,55.4
f1485665-e3bd-44c8-a3c1-6af084dce55f,Female,2008-05-22,8,77.9,70.3,72.8,81.6
8b5070b9-b2dc-4f97-842d-342459535642,Female,2013-10-22,10,92.7,84.3,75.5,68.7
245ab4cd-fa10-48be-b38a-183df0527421,Female,2015-09-08,10,80.8,65.2,65.4,66.7
a0be833b-ccbd-4a2b-9bea-783f5e9ffda7,Male,2019-02-20,11,85.4,71.8,95.4,99.0
f177f36b-5a24-4e33-86fd-5785161cda8b,Female,2006-09-18,9,75.8,94.8,77.7,71.6
c1408baf-a553-4f36-9671-5b60034033c1,Female,2015-06-07,12,78.4,97.5,89.4,83.9
15b0bacd-c620-4298-8948-ea5479b7d033,Male,2011-12-11,4,83.0,85.9,96.2,81.4
e8c27ebc-ef73-4eed-9e6c-0d7e67c178af,Male,2017-12-19,7,83.5,68.7,58.2,55.2
a62196ac-7374-4cef-98ec-1d482bb2efed,Male,2013-11-29,1,97.5,91.0,71.4,87.4
b7d4a99f-5ca2-400f-98bd-b8509acb2f32,Male,2017-03-31,1,93.5,51.3,71.7,66.2
f32b7fcb-a05e-4770-b8ef-0b8f11e1fdb7,Female,2007-10-04,3,99.3,55.1,67.7,89.9
aa9a4c15-6485-4ab3-8576-524377c25fe9,Male,2012-05-27,2,90.0,83.1,50.4,80.4
e07d8c29-16ae-4a4e-9215-994a2685e638,Male,2008-03-29,4,81.0,64.6,90.8,65.9
b5c49cf6-d9d0-4266-b2ab-f7047e6f7eef,Female,2017-06-11,3,83.2,97.6,55.6,67.8
e60dd2d3-8f28-4ebe-851e-8d1d20740289,Male,2008-05-08,1,83.0,71.8,99.8,86.6
93a49983-1bca-4a66-bd66-bc64068f55ea,Male,2011-09-24,11,83.2,71.5,88.6,77.5
0dbc08ab-0d10-4669-9039-b09814bf6f6d,Male,2013-09-27,1,91.8,83.9,79.0,83.4
6c9a6b87-2422-450e-a126-c772197d0f44,Male,2011-05-25,9,88.3,88.4,57.7,57.9
ff4264f3-2bab-483b-ab76-5db1732b5927,Female,2016-12-21,2,84.6,73.8,75.8,89.3
0de3ac30-de69-4699-afaa-eace1661ee04,Male,2017-10-09,11,78.7,60.7,63.1,66.0
8a20013b-638e-47d2-91af-66dfe0591667,Female,2015-05-12,11,75.6,88.7,62.6,81.0
86317c3b-a69c-44d5-a407-38ee137ba8d9,Female,2014-09-08,8,80.5,66.0,91.5,55.7
1f5a328f-60b3-4173-b0d2-86198fc8bf34,Male,2010-02-03,9,77.7,58.8,69.0,66.1
fd8a6c77-37b1-4c55-95e9-90f0a8146511,Female,2008-05-02,1,94.6,81.6,72.5,82.4
39498ee0-5d15-423e-a679-7a1c8013a485,Male,2005-09-04,12,77.8,54.5,92.1,63.7
53b37028-c1ad-4527-a431-bbbe4e500e54,Male,2013-01-28,11,93.1,98.6,54.4,94.0
9cf72e40-f298-4b99-94d5-d349c6ff6cc3,Female,2014-06-05,11,84.6,81.6,79.7,83.1
5f30de91-3e50-451a-979b-dc8df52952c7,Female,2013-10-14,8,76.8,99.3,78.9,93.5
64b775c1-8f1b-42fa-8233-2e50dd60c26e,Female,2017-12-09,5,95.3,66.9,71.3,69.8
d5f0011c-c559-4515-8baa-b2847d4101b8,Male,2005-09-25,11,89.5,98.6,91.5,51.7
67442698-d3d4-4b51-a0e3-d41d0295f04c,Male,2018-09-24,4,80.9,57.3,97.1,78.8
a6349c1b-28f9-441b-9160-7bf8c26fb26f,Female,2016-03-06,7,97.4,52.0,73.3,67.0
0760a331-f189-4221-b060-7137561d4a3f,Male,2016-06-14,2,76.1,51.6,72.8,72.4
78a73c1f-a9e9-48ec-b9aa-2aa7d0dfd3dd,Male,2013-05-07,12,80.0,73.2,75.1,84.1
ecab639e-d262-4bed-86e6-7725dabf2ad7,Female,2016-06-10,2,93.8,54.2,86.2,85.0
fd7cc251-8c50-4085-b0e2-06c8a177ce01,Male,2011-05-20,3,92.7,75.6,83.4,51.4
4d946246-fdcd-4055-aaed-d6ac380ff6e0,Female,2008-04-13,7,82.2,66.4,61.1,88.5
083a2fa5-d8da-4fb9-94c9-cb9f681e72b0,Male,2015-11-20,10,76.6,66.8,53.2,74.7
45a6b9d0-c76e-4896-8d3a-b25b5dc2ee13,Female,2016-07-13,8,96.5,81.8,97.5,77.8
2b6291b2-c2a0-495e-8721-7727befe7a2c,Male,2005-07-11,3,82.8,58.2,63.1,64.9
5721dfc3-312b-47cd-b3c6-898405fe119d,Female,2019-01-02,1,79.9,88.3,81.9,71.0
6fa7d525-2299-41f2-9a6a-6a1e751c3d55,Female,2015-08-13,10,87.9,79.1,91.4,85.5
41356420-6863-44b2-b4e2-072d857a3f9f,Male,2011-01-20,12,97.8,95.7,65.0,88.8
40d0a493-5076-44d5-981f-ca36c36fcbe5,Female,2016-11-20,10,76.1,68.2,81.8,69.4
eda489aa-1b4c-4fdc-af42-11359181faa5,Female,2018-04-20,6,94.1,99.1,55.4,84.6
df799773-59cf-4461-8354-964c8a6b3809,Female,2008-09-25,11,89.3,78.8,98.5,62.9
8a645bc4-02bb-41af-b3dc-e1a46e333165,Female,2011-09-05,5,85.6,98.7,52.9,91.6
d51e0e7e-a3dd-4868-8e4e-97105ee60bb4,Female,2006-03-29,7,93.6,51.4,71.9,80.5
e390c8df-2ac1-4115-834b-e826e685681a,Female,2017-07-23,6,99.1,86.4,76.8,88.8
2769caa5-69e1-4045-a154-f5d305753e79,Male,2012-11-21,6,80.7,90.8,89.5,73.9
9722c99a-911c-4766-8820-97c2d61fb1ab,Male,2008-09-19,10,78.6,52.7,56.1,61.5
bca4fda3-e9bb-44a1-8c6f-1d14b5906d7f,Male,2013-07-22,7,97.8,78.9,72.0,71.5
c4a05845-c098-4c10-88cd-cd478f905281,Male,2014-10-12,4,91.7,90.1,65.0,69.1
5d5690a0-d43b-483c-9335-e8122e7faf3f,Male,2014-08-19,4,85.9,78.1,65.6,66.6
392504af-ef68-46c8-a133-c873e66f7eec,Male,2014-03-06,1,89.3,53.2,88.9,60.6
2a3d1c86-0883-4f29-a706-18f3bc52e335,Female,2011-03-01,7,93.6,84.7,50.3,88.0
ada02ca9-ba3c-44c6-8955-e760b6701313,Male,2006-08-19,3,94.3,53.0,87.5,54.3
aa4ff719-7512-4015-8b70-46a2c6785c54,Male,2010-04-17,2,98.0,90.9,90.5,94.4
5967ccb3-9c95-43a8-8dc9-a39c6a0da9ef,Female,2015-06-30,8,85.7,52.2,95.1,58.8
f162902d-4509-48ef-85d8-0708f57e8644,Male,2013-05-31,9,82.3,56.9,81.3,99.0
9ee967f0-4b2c-4b79-8266-0a0e9ec6ff61,Female,2007-10-05,10,91.0,63.8,66.7,99.4
73177207-dc60-4ade-9eed-6ae179cb9aac,Male,2013-10-08,7,85.4,81.7,71.4,69.9
58dbf19b-971e-4ad3-bef4-35034278c479,Female,2010-01-11,11,89.9,98.8,98.5,99.4
856d9adc-691a-47ac-adb3-db7fc24c0e55,Female,2015-07-25,12,85.5,55.9,94.1,93.5
89593bcc-b66d-4933-aade-169331cd210f,Male,2014-02-06,10,78.8,57.1,73.2,54.1
516c5a10-6213-451e-bad7-a61f778d016d,Male,2010-07-09,8,86.7,68.4,97.2,97.4
ce872f83-8661-4c45-9cb1-a9cd29bbceb4,Female,2009-12-11,4,92.3,91.8,91.1,52.1
235e4263-13ab-4309-a34a-7d15af54a7f5,Female,2014-10-12,12,95.0,73.4,95.1,59.1
f6329a34-c5f7-4b47-b540-885f65952267,Female,2013-03-29,4,87.3,66.1,84.1,79.2
d45a172a-9dd8-479f-bcf4-dca37a8c9bb1,Female,2016-03-13,3,79.1,78.1,92.9,54.0
e093c8c5-a547-40f5-8b36-eedd40b13014,Male,2013-08-24,6,85.4,63.0,94.6,58.1
95ad0833-f3a8-419d-8c7c-d7d67ff226a6,Male,2018-10-03,1,94.7,70.1,54.6,97.7
6e610e33-aa23-40fb-84ec-31262fcce01c,Male,2016-04-06,12,85.3,66.6,98.3,99.7
1a7af160-6f21-4328-baec-070e35ef8baa,Female,2008-11-06,8,92.4,90.2,66.7,89.9
36a7e7c5-1ba5-466e-8fad-82a017a5500a,Female,2017-09-23,7,87.7,96.2,72.0,75.8
9f0caa3a-0d2e-46c8-a895-6f503efeee54,Male,2018-03-28,8,81.0,88.0,89.6,95.0
00778125-3712-4d06-a9fd-97d87fccf1af,Male,2006-02-13,6,94.9,72.0,83.2,55.6
569006a9-74ba-49c4-8d52-6cb76ed6a8d7,Male,2005-08-22,1,77.1,75.2,94.7,97.1
19e7ee5c-a658-4f1d-bf63-f7a1eeae3195,Male,2011-04-24,8,88.1,56.3,70.0,67.6
024bdb67-462d-4570-bfdb-4d4c47c5a4fd,Female,2010-02-05,9,80.2,87.3,68.7,93.1
a22598ce-b78e-43a1-ad0d-68e09ad3e987,Female,2012-05-10,6,76.7,79.8,51.6,83.4
0f9c83d3-651c-46b3-a1ff-299190593805,Female,2012-10-08,10,87.6,95.1,73.1,98.0
